id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14551,Cozy & Colorful by Nature (Private Room),57237,Mun,,Girona,41.9965,2.83646,Private room,60,1,39,11/1/21,0.29,1,364,5,HUTG-049542
35801,Can Torras Farmhouse Studio with magnificent views,153805,Karen,,Quart,41.95395,2.89703,Private room,87,2,66,8/23/21,0.52,4,273,8,PG-000952
41342,Beachfront Tamariua (Costa Brava),180072,Marisa,,El Port de la Selva,42.34655,3.20463,Entire home/apt,120,7,11,8/28/21,0.11,1,6,2,HUTG-003688
45400,Begur - Loft - Costa Brava - SPAIN,201228,Oscar,,Begur,41.95577,3.21096,Entire home/apt,94,1,330,12/26/21,2.46,1,337,38,HUTG-015895
48764,18th C Stone House near Costa Brava,220145,Dick And Ann,,Torroella de Fluvià,42.17605,3.03974,Entire home/apt,120,7,31,9/10/21,0.24,1,161,5,HUTG-000207
93343,Alquiler de casa en La Costa Brava cerca de playa,477826,Francisco,,L'Escala,42.10405,3.14936,Entire home/apt,173,2,0,,,1,81,0,HUTG-001447
101580,"Villa ZEN,big pool ,700m from beach & restaurants",532063,Xavier,,Lloret de Mar,41.70656,2.89015,Entire home/apt,871,5,21,7/21/20,0.38,1,357,0,HUTG-015230
106704,Casa rural cerca de la playa,553059,Laura,,Llagostera,41.83631,2.937,Entire home/apt,251,2,20,7/25/21,0.16,5,353,4,
121666,Costa brava sun and becah,611063,Alicia,,Torroella de Montgrí,42.00877,3.18954,Entire home/apt,89,7,43,11/1/21,0.42,1,316,13,HUTG-012492-54
121962,Amplia masia cerca del mar,553059,Laura,,Llagostera,41.84104,2.94811,Entire home/apt,450,2,23,8/29/21,0.21,5,353,4,PG-000599
122273,Hermosa casa cerca de la playa,553059,Laura,,Llagostera,41.84102,2.95118,Entire home/apt,121,2,28,8/13/21,0.24,5,356,6,
122371,"La torre del Capricorno: 150m2, Sea-& Mountainview",613396,Dolphi,,Pals,41.97454,3.17576,Entire home/apt,290,7,0,,,1,273,0,HUTG-025420
130159,"Floor comfortable  in Blanes,magnif",632158,Francisco,,Blanes,41.6657,2.78242,Entire home/apt,92,6,25,12/26/18,0.2,1,363,0,HUTG-021264
131374,"Charming house in Costa Brava, near Girona",646551,Jesús,,Riudarenes,41.82069,2.71764,Entire home/apt,258,2,7,8/16/21,0.08,1,360,1,PG000877
134083,Penthouse with sunny terrace,658116,Josep,,Sant Feliu de Guíxols,41.78214,3.02659,Entire home/apt,180,7,0,,,1,364,0,
154339,Casa Lloret y Mar ‚Ä¢ Holiday House rent near beach,2552,Barbara,,Lloret de Mar,41.7403,2.81844,Entire home/apt,119,5,4,8/29/19,0.03,1,348,0,
168832,Villa with pool - Emporda / Girona - HUTG-026514,804674,Jordi,,Saus,42.12516,2.93539,Entire home/apt,50,7,14,8/28/21,0.14,1,0,2,HUTG-020858
178386,Apartment in Calonge (5 minutes from the beach),823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.8452,3.096,Entire home/apt,79,3,4,7/28/13,0.03,9,243,0,HUTG-016339
179220,"Costa Brava, 50 m from beach 1",823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.84794,3.10483,Entire home/apt,97,3,16,8/28/21,0.13,9,0,2,HUTG-024425
197993,Cheap bedrooms in Blanes! (No kitchen!),965761,Laura,,Blanes,41.6772,2.787,Private room,22,2,50,9/10/21,0.43,1,214,8,Exempt
207996,CASA ANNA in eco friendly house in Costa Brava,1023612,Mercè,,Rupià,42.01693,3.00915,Entire home/apt,150,4,8,8/14/21,0.09,2,191,2,HUTG-011718
254100,Stone villa Costa Brava,1205693,Ester,,Ventalló,42.14737,3.02763,Entire home/apt,95,7,4,8/26/17,0.04,1,365,0,
262941,Penthouse in front of the sea-210M2,1379849,Inmaculada,,Palafrugell,41.91841,3.21439,Entire home/apt,400,4,40,9/25/21,0.39,1,219,5,HUTG-049963
265647,Canigó (Can Llobet)  PG-455,1393119,Xavi,,Capmany,42.37355,2.92054,Entire home/apt,210,7,37,11/10/21,0.36,8,286,19,PG-000455
273037,cal ros,1428767,Joelle,,Palafrugell,41.91128,3.15674,Entire home/apt,80,2,73,9/3/21,0.64,1,358,5,HUTG-009615
280968,Spend quiet vacation near the sea,1455476,Joe,,Palamós,41.85922,3.14773,Entire home/apt,84,2,70,11/1/21,0.62,1,339,12,HUTG-007924
296563,"Costa Brava, 50 m beach - B1",823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.84711,3.10563,Entire home/apt,97,3,2,8/15/15,0.03,9,0,0,HUTG-020220
304363,"Bright, Riverside Apartment No 4 close to old town",153805,Karen,,Girona,41.99117,2.82355,Entire home/apt,80,2,84,12/26/21,0.73,4,268,15,HUTG-014860
323402,"Swimming pool, sea view, 1200 m city center",1554685,Geny,,Lloret de Mar,41.71255,2.85571,Entire home/apt,553,2,2,8/28/21,0.08,1,340,1,HUTG-023733
323679,Marina Costa Brava - view on canal,1552289,Julien,,Castelló d'Empúries,42.24698,3.1256,Entire home/apt,55,14,7,8/18/18,0.06,1,303,0,
336151,"Girona, Spain -Can Bici: Sleeps 3-4",1711073,Marty,,Girona,41.97304,2.83103,Entire home/apt,73,2,30,12/10/21,0.37,1,355,4,HUTB-032080
